event_id,date,city,ATM,cold_start,A1_rank,B_rank,A+B_rank,new_method_rank,candidate_generated,candidate_rank,graph_score,transaction_score,final_score,reason
1,2023-01-27,Hyderabad,dce0c68a-90e...,YES,92,95,92,118,NO,114,0.0004,0.0002,0.0,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
2,2023-02-03,Mumbai,fceef9b3-981...,NO,27,51,28,43,YES,35,0.2349,0.2164,0.2317,"History-positive ATM: direct prior fraud flags, connected mules, or local velocity burst"
3,2023-03-10,Jaipur,644ec086-7a2...,YES,89,130,89,79,NO,96,0.0441,0.0439,0.066,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
4,2023-04-14,Bengaluru,1ceabaf4-936...,YES,84,39,84,54,NO,70,0.1316,0.1314,0.1656,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
5,2023-05-19,Mumbai,6ded4d28-8bc...,NO,5,4,5,3,YES,5,0.1317,0.2815,0.4762,"History-positive ATM: direct prior fraud flags, connected mules, or local velocity burst"
6,2023-06-09,Hyderabad,6e2eb94c-abe...,NO,9,23,13,13,YES,31,0.2339,0.2026,0.3893,"History-positive ATM: direct prior fraud flags, connected mules, or local velocity burst"
7,2023-06-30,Chennai,41174545-6f8...,NO,61,56,61,65,NO,40,0.0879,0.171,0.1278,"History-positive ATM: direct prior fraud flags, connected mules, or local velocity burst"
8,2023-07-14,Hyderabad,6e2eb94c-abe...,YES,77,99,77,74,NO,88,0.0441,0.0439,0.1107,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
9,2023-07-21,Chennai,14e22c3d-550...,NO,30,59,32,97,NO,101,0.1464,0.0451,0.1185,"History-positive ATM: direct prior fraud flags, connected mules, or local velocity burst"
10,2023-09-15,Jaipur,c5ebb465-883...,YES,97,125,97,86,NO,81,0.0879,0.0877,0.1,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
11,2023-09-29,Ahmedabad,67107270-efc...,YES,148,76,148,94,NO,86,0.0879,0.0877,0.1,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
12,2023-09-29,Hyderabad,dce0c68a-90e...,NO,8,4,6,36,NO,54,0.0004,0.1051,0.2484,"History-positive ATM: direct prior fraud flags, connected mules, or local velocity burst"
13,2023-11-03,Ahmedabad,de2d188a-a43...,YES,71,75,71,62,NO,75,0.0441,0.1273,0.1343,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
14,2023-11-24,Mumbai,7aee3f20-61f...,YES,143,85,143,86,NO,81,0.0879,0.0877,0.1,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
15,2023-12-01,New Delhi,e3c72b40-457...,YES,79,44,79,100,NO,104,0.0004,0.0002,0.0183,"Cold-start ATM in low-crime zone: zero prior local flags, isolated cashout destination"
16,2023-12-08,New Delhi,ae9a45fc-c29...,NO,15,21,19,30,YES,47,0.1892,0.1408,0.274,"History-positive ATM: direct prior fraud flags, connected mules, or local velocity burst"
